,gender,E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,N1,N2,N3,N4,N5,N6,N7,N8,N9,N10,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,O1,O2,O3,O4,O5,O6,O7,O8,O9,O10,E_Tot,N_Tot,A_Tot,C_Tot,O_Tot
47,1,2,3,5,4,5,4,3,4,5,5,5,2,4,3,5,5,5,5,5,3,1,5,5,4,5,4,4,4,4,5,5,5,5,5,5,5,4,5,5,5,4,4,3,5,4,5,5,1,5,4,40,42,41,49,40
48,2,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,2,1,2,3,5,4,3,5,4,4,4,3,1,2,2,1,1,1,3,1,3,2,5,4,5,5,4,5,2,5,5,4,10,12,37,17,44
49,1,1,4,3,1,4,5,1,3,4,2,2,3,1,3,2,2,2,2,1,3,2,3,1,4,5,5,3,3,3,2,4,1,4,2,1,2,3,2,2,3,4,4,5,4,5,3,5,4,4,5,28,21,31,24,43
50,2,1,2,2,2,1,4,1,2,2,1,1,2,1,2,4,2,1,2,3,3,4,4,3,5,4,4,4,3,4,2,4,3,5,2,2,2,5,4,4,4,4,3,4,3,3,4,4,3,4,4,18,21,37,35,36
51,2,2,3,2,1,2,5,1,3,5,1,1,2,1,2,1,1,1,1,1,1,3,2,3,2,3,5,3,3,3,3,1,1,3,1,3,1,3,1,2,4,5,3,5,2,5,5,4,5,5,5,25,12,30,20,44
52,2,2,4,2,4,4,5,2,4,2,2,2,3,2,2,3,1,2,2,2,4,2,4,2,2,4,3,5,3,3,2,2,3,5,3,1,1,2,3,2,3,5,4,4,4,4,4,3,4,5,5,31,23,30,25,42
53,2,2,5,4,4,4,5,1,2,2,3,1,3,4,2,4,4,5,5,4,4,5,5,5,5,4,4,5,2,5,5,5,5,4,5,5,5,2,5,4,4,3,4,1,4,2,5,4,1,4,4,32,36,45,44,32
54,1,4,5,3,5,2,5,4,2,4,2,2,3,2,3,4,3,2,3,3,3,4,5,4,2,1,4,3,3,1,3,5,2,4,5,3,5,5,5,4,4,5,5,4,5,5,5,4,5,3,5,36,28,30,42,46
55,1,2,2,2,2,2,2,2,2,2,2,2,3,2,1,4,2,3,3,2,2,4,2,4,4,3,2,2,2,4,3,3,2,3,3,2,3,3,2,2,4,4,2,4,2,3,3,4,3,4,3,20,24,30,27,32
56,1,2,5,4,4,2,2,5,1,2,1,1,2,1,3,1,1,1,2,2,2,2,4,2,2,3,5,5,4,1,3,4,3,5,3,1,3,4,3,5,3,3,3,5,2,4,5,3,4,4,4,28,16,31,34,37
57,3,2,4,2,4,2,5,1,4,4,2,1,3,2,2,2,3,2,3,2,3,5,4,4,3,5,4,5,2,2,2,2,2,3,2,1,1,3,1,2,3,4,4,3,4,3,4,4,4,2,2,30,23,36,20,34
58,2,1,2,2,1,1,4,1,1,1,1,1,2,1,2,2,2,4,4,2,4,5,5,5,5,5,4,5,4,5,3,4,4,2,4,2,5,4,4,4,2,5,5,5,3,4,5,5,4,5,4,15,24,46,35,45
59,2,4,5,5,3,5,5,1,5,4,5,1,2,1,4,2,1,4,4,2,4,5,5,5,5,5,5,5,3,5,5,2,5,5,2,1,5,5,4,5,3,5,5,5,2,5,5,5,5,2,5,42,25,48,37,44
60,2,4,5,4,4,5,4,5,4,4,4,4,3,2,2,4,3,2,4,4,3,5,5,4,5,5,5,5,5,4,4,4,4,4,5,4,5,5,5,4,4,3,4,4,5,3,4,3,3,5,3,43,31,47,44,37
61,2,5,1,5,1,5,1,5,4,5,5,1,1,1,5,1,1,1,1,1,4,1,5,1,5,5,5,5,5,5,5,4,1,5,5,4,1,5,5,2,5,1,1,5,4,5,5,2,1,5,3,37,17,42,37,32
62,1,3,3,3,1,2,3,3,2,4,2,2,4,2,2,3,2,2,2,2,2,3,4,2,4,3,3,3,3,3,2,3,2,4,2,1,1,4,2,2,3,4,1,5,3,3,4,2,4,4,4,26,23,30,24,34
63,1,4,3,4,4,4,4,4,4,4,4,5,5,4,3,4,4,4,4,4,4,5,5,5,5,1,5,5,5,5,4,4,1,5,4,1,1,4,3,3,4,5,5,3,5,4,3,4,3,5,4,39,41,45,30,41
64,2,2,3,4,3,2,4,2,2,2,2,3,4,3,5,5,5,5,5,4,5,4,3,5,3,3,4,3,4,3,5,4,4,5,5,5,1,4,5,4,5,3,3,5,4,5,5,4,2,4,5,26,44,37,42,40
65,1,2,2,5,4,4,2,4,4,2,3,3,3,2,2,2,4,2,5,4,4,2,4,5,5,5,5,4,5,4,4,2,4,3,2,2,2,3,4,2,3,3,4,4,4,5,4,5,2,5,4,32,31,43,27,40
66,1,3,1,4,2,3,2,2,1,4,1,1,4,1,3,2,1,1,1,2,2,2,5,2,5,4,5,2,5,5,5,3,4,5,1,2,2,3,3,3,4,3,3,5,3,3,2,3,4,5,3,23,18,40,30,34
67,1,4,2,4,4,3,4,4,2,5,3,4,4,2,4,5,4,5,5,4,4,5,3,5,5,4,5,4,5,5,5,4,5,5,5,5,5,5,5,5,5,4,5,4,5,5,2,5,1,5,3,35,41,46,49,39
68,2,2,4,5,4,4,3,2,1,1,4,1,1,1,2,2,2,1,1,2,2,5,4,3,4,5,4,4,5,4,2,4,5,5,5,4,1,5,3,5,5,4,2,2,4,3,4,4,4,2,2,30,15,40,42,31
69,2,3,5,5,4,5,5,3,3,3,4,3,4,2,3,3,3,2,3,3,3,5,5,4,5,5,2,5,5,5,4,2,2,4,4,3,2,2,3,1,4,3,4,4,5,4,3,4,4,5,3,40,29,45,27,39
